date,Barack Obama,John McCain
2007-11-04,3,1
2007-11-11,3,1
2007-11-18,2,1
2007-11-25,3,1
2007-12-02,3,1
2007-12-09,4,1
2007-12-16,4,1
2007-12-23,3,1
2007-12-30,12,3
2008-01-06,23,9
2008-01-13,11,5
2008-01-20,10,6
2008-01-27,22,14
2008-02-03,31,17
2008-02-10,26,8
2008-02-17,22,11
2008-02-24,21,7
2008-03-02,17,9
2008-03-09,12,5
2008-03-16,16,4
2008-03-23,10,4
2008-03-30,8,5
2008-04-06,6,4
2008-04-13,8,4
2008-04-20,9,5
2008-04-27,7,4
2008-05-04,10,5
2008-05-11,8,4
2008-05-18,8,5
2008-05-25,6,3
2008-06-01,17,6
2008-06-08,11,6
2008-06-15,8,5
2008-06-22,6,4
2008-06-29,6,4
2008-07-06,6,4
2008-07-13,6,4
2008-07-20,7,5
2008-07-27,7,5
2008-08-03,7,6
2008-08-10,6,5
2008-08-17,15,9
2008-08-24,32,23
2008-08-31,27,32
2008-09-07,20,17
2008-09-14,18,15
2008-09-21,19,17
2008-09-28,22,17
2008-10-05,29,23
2008-10-12,30,23
2008-10-19,36,23
2008-10-26,51,28
2008-11-02,100,31
